GrainSize,C,Mn,Si,Ni,Cr,Mo,W,As,V,Cu,t85,HV_total
5.0,0.28,0.81,1.05,0.11,1.06,0.0,0.0,0.0,0.0,0.17,39.113,464.78
6.0,0.3,0.98,0.94,0.13,0.83,0.0,0.0,0.0,0.0,0.28,5.391,571.717
7.0,0.32,1.0,1.09,0.15,1.0,0.0,0.0,0.0,0.0,0.18,3.393,600.247
7.0,0.29,0.84,0.97,0.18,1.06,0.0,0.0,0.0,0.0,0.26,7.366,561.269
5.0,0.31,1.09,0.91,0.26,0.98,0.0,0.0,0.0,0.0,0.27,4.848,584.288
7.0,0.33,0.81,1.19,0.28,0.95,0.0,0.0,0.0,0.0,0.27,5.843,604.987
5.0,0.28,0.87,1.12,0.28,0.97,0.0,0.0,0.0,0.0,0.3,4.861,560.321
7.0,0.31,1.03,0.97,0.16,0.85,0.0,0.0,0.0,0.0,0.13,12.642,570.353
6.0,0.29,1.0,1.01,0.14,0.89,0.0,0.0,0.0,0.0,0.3,8.054,560.622
5.0,0.33,0.91,0.95,0.13,1.08,0.0,0.0,0.0,0.0,0.28,11.669,594.255
7.0,0.32,1.04,1.13,0.24,1.07,0.0,0.0,0.0,0.0,0.26,6.588,596.97
6.0,0.33,0.96,0.95,0.21,0.91,0.0,0.0,0.0,0.0,0.25,6.725,597.727
7.0,0.31,0.89,1.11,0.17,1.08,0.0,0.0,0.0,0.0,0.18,3.325,592.358
6.0,0.33,1.1,0.92,0.24,1.0,0.0,0.0,0.0,0.0,0.16,25.619,587.481
6.0,0.29,0.81,1.12,0.21,1.02,0.0,0.0,0.0,0.0,0.17,11.437,557.43
6.0,0.3,0.97,1.12,0.15,0.81,0.0,0.0,0.0,0.0,0.14,5.317,576.445
5.0,0.33,0.95,1.1,0.15,0.88,0.0,0.0,0.0,0.0,0.26,7.22,600.042
6.0,0.33,0.9,1.11,0.19,0.85,0.0,0.0,0.0,0.0,0.18,12.605,594.033
5.0,0.33,0.97,1.02,0.23,0.96,0.0,0.0,0.0,0.0,0.28,6.592,600.847
5.0,0.32,0.87,1.06,0.17,0.91,0.0,0.0,0.0,0.0,0.18,5.85,591.809
5.0,0.28,0.83,1.04,0.26,1.07,0.0,0.0,0.0,0.0,0.24,26.155,524.971
5.0,0.3,0.8,1.05,0.3,1.07,0.0,0.0,0.0,0.0,0.2,19.268,561.682
5.0,0.3,1.05,0.98,0.16,1.04,0.0,0.0,0.0,0.0,0.19,142.18,389.934
7.0,0.3,1.1,0.93,0.28,1.01,0.0,0.0,0.0,0.0,0.3,23.904,555.76
